Cores, Res, Time
1,0.005,36.17318333333333
1,0.005,36.43568333333333
1,0.005,36.202866666666644
1,0.005,36.47006666666669
1,0.005,36.20391666666668
1,0.005,36.62656666666668
1,0.005,36.19453333333331
1,0.005,36.09740000000008
1,0.005,36.14191666666666
1,0.005,36.28149999999999
1,0.01,8.902599999999923
1,0.01,8.82578333333331
1,0.01,8.846350000000045
1,0.01,8.851566666666622
1,0.01,8.859116666666644
1,0.01,8.82421666666669
1,0.01,8.883600000000055
1,0.01,8.846616666666645
1,0.01,8.931499999999991
1,0.01,8.829949999999977
1,0.02,2.6411499999999553
1,0.02,2.6958333333333333
1,0.02,2.648166666666657
1,0.02,2.683333333333333
1,0.02,2.645583333333343
1,0.02,2.637766666666721
1,0.02,2.632816666666622
1,0.02,2.646883333333244
1,0.02,2.6403666666666443
1,0.02,2.643233333333289
1,0.04,0.4549499999999777
1,0.04,0.44583333333333336
1,0.04,0.4434833333334003
1,0.04,0.44713333333335564
1,0.04,0.4432166666666793
1,0.04,0.44688333333336533
1,0.04,0.4460833333333236
1,0.04,0.4435000000000097
1,0.04,0.4471499999999651
1,0.04,0.44973333333340026
1,0.08,0.22161666666664434
1,0.08,0.22004999999990105
1,0.08,0.22291666666666668
1,0.08,0.22161666666664434
1,0.08,0.22031666666662203
1,0.08,0.22316666666665697
1,0.08,0.22134999999992336
1,0.08,0.22396666666669868
1,0.08,0.22213333333335564
1,0.08,0.22135000000004462
1,0.16,0.11119999999997769
1,0.16,0.11066666666665696
1,0.16,0.11146666666669867
1,0.16,0.1109333333332567
1,0.16,0.11094999999998739
1,0.16,0.11094999999998739
1,0.16,0.11145000000008926
1,0.16,0.11144999999996799
1,0.16,0.112233333333279
1,0.16,0.1119833333332887
2,0.005,18.369783333333423
2,0.005,18.26354999999991
2,0.005,18.30053333333332
2,0.005,18.083333333333332
2,0.005,18.247916666666665
2,0.005,18.239316666666614
2,0.005,18.459883333333345
2,0.005,18.791933333333265
2,0.005,18.261449999999968
2,0.005,18.42005000000002
2,0.01,4.450783333333311
2,0.01,4.451833333333343
2,0.01,4.459900000000077
2,0.01,4.439316666666612
2,0.01,4.421616666666645
2,0.01,4.4309833333334
2,0.01,4.445566666666734
2,0.01,4.453383333333355
2,0.01,4.544533333333311
2,0.01,4.448949999999968
2,0.02,1.3288999999999456
2,0.02,1.323166666666657
2,0.02,1.33176666666659
2,0.02,1.3643166666667337
2,0.02,1.3252499999999903
2,0.02,1.323949999999968
2,0.02,1.3317666666667114
2,0.02,1.3296999999999874
2,0.02,1.330466666666689
2,0.02,1.3265500000000126
2,0.04,0.2265500000000126
2,0.04,0.22630000000002232
2,0.04,0.22681666666661235
2,0.04,0.224216666666689
2,0.04,0.22786666666664435
2,0.04,0.22396666666669868
2,0.04,0.224216666666689
2,0.04,0.2255166666667113
2,0.04,0.22629999999990105
2,0.04,0.22864999999995536
2,0.08,0.11223333333340027
2,0.08,0.11379999999990105
2,0.08,0.11196666666667927
2,0.08,0.1119833333332887
2,0.08,0.11171666666668897
2,0.08,0.1117333333332984
2,0.08,0.11223333333340027
2,0.08,0.11196666666667927
2,0.08,0.11171666666656771
2,0.08,0.1122500000000097
2,0.16,0.05651666666672099
2,0.16,0.05651666666672099
2,0.16,0.05625
2,0.16,0.05651666666659973
2,0.16,0.05625
2,0.16,0.05625
2,0.16,0.056783333333320724
2,0.16,0.05730000000003201
2,0.16,0.05651666666672099
2,0.16,0.05703333333343229
3,0.005,12.69323333333341
3,0.005,12.347133333333234
3,0.005,12.234366666666514
3,0.005,12.499483333333531
3,0.005,12.327083333333333
3,0.005,12.233850000000045
3,0.005,12.232033333333431
3,0.005,12.308600000000053
3,0.005,12.296366666666533
3,0.005,12.279949999999856
3,0.01,2.985149999999946
3,0.01,2.9791666666666665
3,0.01,2.9973999999999554
