cores,resolution,time
1, 0.005, 61.35100444738346
1, 0.005, 61.447992508616636
1, 0.005, 62.08596160316665
1, 0.005, 60.90362241756666
1, 0.005, 62.00759856493338
1, 0.005, 62.26714863355009
1, 0.005, 61.2646357990001
1, 0.005, 61.6952725506669
1, 0.005, 61.54761523448348
1, 0.005, 61.4627441752833
1, 0.01, 14.984932900166314
1, 0.01, 14.940735243733313
1, 0.01, 15.12050859931672
1, 0.01, 15.184934531283215
1, 0.01, 14.955292214966418
1, 0.01, 14.916852618983345
1, 0.01, 14.965957283833026
1, 0.01, 14.953447454266522
1, 0.01, 14.782816956716609
1, 0.01, 14.753078241449838
1, 0.02, 4.487911704266541
1, 0.02, 4.442777123283304
1, 0.02, 4.4793167599501125
1, 0.02, 4.52658185808347
1, 0.02, 4.499540091049857
1, 0.02, 4.457927709550131
1, 0.02, 4.507940388033361
1, 0.02, 4.563370643366943
1, 0.02, 4.461258332016587
1, 0.02, 4.5758689382501565
1, 0.04, 0.755223939716719
1, 0.04, 0.7569715998669078
1, 0.04, 0.7623357795663954
1, 0.04, 0.7643085759331977
1, 0.04, 0.7625280574837234
1, 0.04, 0.7653162176667441
1, 0.04, 0.7617818986832087
1, 0.04, 0.763028604433445
1, 0.04, 0.765251800933523
1, 0.04, 0.7641230459829482
1, 0.08, 0.3796367981330453
1, 0.08, 0.3808136760334795
1, 0.08, 0.37912857576690534
1, 0.08, 0.3793882129500465
1, 0.08, 0.38445294824972126
1, 0.08, 0.38110554938369506
1, 0.08, 0.3850657561667807
1, 0.08, 0.3796049546164189
1, 0.08, 0.38063259795017074
1, 0.08, 0.3759727590664018
1, 0.16, 0.19074549583310726
1, 0.16, 0.19145808726655864
1, 0.16, 0.1909519674164282
1, 0.16, 0.19190913248312427
1, 0.16, 0.1909030840334405
1, 0.16, 0.1909735582502132
1, 0.16, 0.1922251456664526
1, 0.16, 0.1902099691001543
1, 0.16, 0.19391260463307844
1, 0.16, 0.19137190848365815
2, 0.005, 30.988169023616745
2, 0.005, 30.30519716931643
2, 0.005, 30.770322694049778
2, 0.005, 30.8147929800165
2, 0.005, 30.226342251783354
2, 0.005, 30.55553233578345
2, 0.005, 30.534243486149837
2, 0.005, 30.393304483633255
2, 0.005, 31.1387385675834
2, 0.005, 30.5611201224999
2, 0.01, 7.4004042236837755
2, 0.01, 7.474605513316541
2, 0.01, 7.444816521966519
2, 0.01, 7.449261177483034
2, 0.01, 7.468183964966738
2, 0.01, 7.335433434266694
2, 0.01, 7.507383645300191
2, 0.01, 7.328998055466703
2, 0.01, 7.400273222816759
2, 0.01, 7.3756095404503865
2, 0.02, 2.2642105892834175
2, 0.02, 2.2706723907166935
2, 0.02, 2.270012783833469
2, 0.02, 2.246024963449842
2, 0.02, 2.298278743933285
2, 0.02, 2.312440886516803
2, 0.02, 2.2461950860665336
2, 0.02, 2.2568399074996703
2, 0.02, 2.268640431916477
2, 0.02, 2.233863236683343
2, 0.04, 0.38054582088322303
2, 0.04, 0.3786584485331938
2, 0.04, 0.38146371128338313
2, 0.04, 0.38118259294957774
2, 0.04, 0.38328871321621893
2, 0.04, 0.3813414373997754
2, 0.04, 0.3823056980666782
2, 0.04, 0.3783664332833723
2, 0.04, 0.37869587056678333
2, 0.04, 0.38678408311679957
2, 0.08, 0.19028800998300235
2, 0.08, 0.18989512463352487
2, 0.08, 0.19192766763299005
2, 0.08, 0.18910945528332376
2, 0.08, 0.18940490853371253
2, 0.08, 0.19020959858316927
2, 0.08, 0.19043671563316214
2, 0.08, 0.19290229078324045
2, 0.08, 0.1902534757668036
2, 0.08, 0.19105343530003058
2, 0.16, 0.09714546294999309
2, 0.16, 0.09718032290014283
2, 0.16, 0.09701937161638247
2, 0.16, 0.09662154801626457
2, 0.16, 0.09653235289976389
2, 0.16, 0.09677332696689216
2, 0.16, 0.09925180573336548
2, 0.16, 0.09826841721708963
2, 0.16, 0.09726446489997519
2, 0.16, 0.09885430206680515
3, 0.005, 22.330722488916944
3, 0.005, 22.490853294416834
3, 0.005, 22.15148647003322
3, 0.005, 22.387334156483607
3, 0.005, 22.300108765366893
3, 0.005, 22.525473747466943
3, 0.005, 22.070134606783782
3, 0.005, 22.1961013288664
3, 0.005, 22.079989370883172
3, 0.005, 21.986215609282954
3, 0.01, 5.415523134599789
3, 0.01, 5.4929351920000045
3, 0.01, 5.3824298294168935
3, 0.01, 5.3966900412667504
3, 0.01, 5.392968368033568
3, 0.01, 5.4421265627999675
3, 0.01, 5.45583174075
3, 0.01, 5.46184428731649
3, 0.01, 5.440716418117033
3, 0.01, 5.455501223666458
3, 0.02, 1.6272178121163354
3, 0.02, 1.647879051383643
3, 0.02, 1.626461312249982
3, 0.02, 1.6191324567165186
3, 0.02, 1.6159055885334965
3, 0.02, 1.6152163446332755
3, 0.02, 1.6242442705168894
3, 0.02, 1.6149391451996054
3, 0.02, 1.613336945066597
3, 0.02, 1.6039445790331228
3, 0.04, 0.26817053053334045
3, 0.04, 0.2695907071834275
3, 0.04, 0.268205719483376
3, 0.04, 0.27083319386680765
3, 0.04, 0.2714363805168735
3, 0.04, 0.2680634255336675
3, 0.04, 0.27029748048322894
3, 0.04, 0.2677792382669092
3, 0.04, 0.2693336831168078
3, 0.04, 0.2706214437833599
3, 0.08, 0.1316494153502087
3, 0.08, 0.13140638259986492
3, 0.08, 0.13018161410000176
3, 0.08, 0.13253920988354367
3, 0.08, 0.13108204673335422
3, 0.08, 0.13247173716663382
3, 0.08, 0.13224553339969133
3, 0.08, 0.13208988336652208
3, 0.08, 0.13105845331641225
